Name,DIST,Z
SUB12,10073.42279,147
SUB12,10101.70706,147
SUB12,10121.70706,147
SUB12,10149.99133,147
SUB12,10178.27561,147
SUB12,10198.27561,147
SUB12,10218.27561,147
SUB12,10238.27561,147
SUB12,10266.55988,147
SUB12,10286.55988,147
SUB12,10306.55988,147
SUB12,10334.84415,147
SUB12,10354.84415,147
SUB12,10383.12842,147
SUB12,10403.12842,147
SUB12,10423.12842,147
SUB12,10451.41269,147
SUB12,10471.41269,147
SUB12,10491.41269,147
SUB12,10519.69696,147
SUB12,10547.98123,147
SUB12,10567.98123,147
SUB12,10587.98123,147
SUB12,10607.98123,147
SUB12,10627.98123,147
SUB12,10647.98123,147
SUB12,10667.98123,147
SUB12,10687.98123,146
SUB12,10707.98123,146
SUB12,10727.98123,146
SUB12,10747.98123,146
SUB12,10767.98123,146
SUB12,10796.2655,146
SUB12,10816.2655,146
SUB12,10836.2655,146
SUB12,10864.54978,146
SUB12,10892.83405,146
SUB12,10921.11832,146
SUB12,10949.40259,146
SUB12,10977.68686,146
SUB12,11005.97113,146
SUB12,11034.2554,146
SUB12,11062.53967,145
SUB12,11082.53967,145
SUB12,11110.82395,145
SUB12,11130.82395,145
SUB12,11150.82395,145
SUB12,11179.10822,145
SUB12,11199.10822,145
SUB12,11219.10822,145
SUB12,11247.39249,145
SUB12,11267.39249,145
SUB12,11287.39249,145
SUB12,11307.39249,145
SUB12,11327.39249,145
SUB12,11347.39249,145
SUB12,11367.39249,145
SUB12,11387.39249,145
SUB12,11415.67676,145
SUB12,11435.67676,145
SUB12,11455.67676,145
SUB12,11483.96103,145
SUB12,11512.2453,144.9833832
SUB12,11540.52957,144.6745453
SUB12,11568.81384,144.3470764
SUB12,11597.09812,144.0206604
SUB12,11617.09812,143.9002838
SUB12,11645.38239,143.6168518
SUB12,11665.38239,143.4711151
SUB12,11685.38239,143.3416443
SUB12,11713.66666,143.1662445
SUB12,11733.66666,143.1329651
SUB12,11761.95093,143.262619
SUB12,11781.95093,143.4202576
SUB12,11801.95093,143.614212
SUB12,11821.95093,143.8313599
SUB12,11850.2352,143.9585114
SUB12,11870.2352,144
SUB12,11898.51947,144
SUB12,11918.51947,144
SUB12,11938.51947,144
SUB12,11966.80374,144
SUB12,11995.08801,144
SUB12,12023.37229,144
SUB12,12051.65656,144
SUB12,12079.94083,144
SUB12,12108.2251,144
SUB12,12136.50937,144
SUB12,12156.50937,144
SUB12,12176.50937,144
SUB12,12204.79364,144
SUB12,12233.07791,144
SUB12,12261.36218,144
SUB12,12281.36218,144
SUB12,12301.36218,144
SUB12,12329.64646,143
SUB12,12357.93073,143
SUB12,12386.215,143
SUB12,12406.215,143
SUB12,12426.215,143
SUB12,12454.49927,143
